	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59
1		3		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2	
2				5	5			4	4			4	4			4	4			4	4			4	4			4	4			4	4			4	4			4	4			4	4			4	4			4	4			4	4		
3				3	5	3		3	5	3		3	5	3		3	5	3		3	5	3		3	5	3		3	5	3		3	5	3		3	5	3		3	5	3		3	5	3		3	5	3		3	5	3		3	5	3	
4								6	7	6	6					6	7	6	6					6	7	6	6					6	7	6	6					6	7	6	6					6	7	6	6					6	7	6	6
5						3		3	7	3	5	3		3		3	7	3	5	3		3		3	7	3	5	3		3		3	7	3	5	3		3		3	7	3	5	3		3		3	7	3	5	3		3		3	7	3	5
6								5	5	6	5	5	5			5	5	6	5	5	5			5	5	6	5	5	5			5	5	6	5	5	5			5	5	6	5	5	5			5	5	6	5	5	5			5	5	6	5
7								3	4	3	6	3	5	3		3	4	3	6	3	5	3		3	4	3	6	3	5	3		3	4	3	6	3	5	3		3	4	3	6	3	5	3		3	4	3	6	3	5	3		3	4	3	6
8																10	10	13	13	10	11	10	10									10	10	13	13	10	11	10	10									10	10	13	13	10	11	10	10				
9										3		3		3		3	5	3	12	3	10	3	8	3		3		3		3		3	7	3	12	3	10	3	8	3		3		3		3		3	7	3	12	3	10	3	8	3		3	
10												5	5			5	5	13	13	5	5	7	8	5	5			5	5			5	5	13	13	5	5	7	8	5	5			5	5			5	5	13	13	5	5	7	8	5	5		
11												3	4	3		3	5	3	12	3	5	3	9	3	5	3		3	5	3		3	5	3	12	3	5	3	9	3	5	3		3	5	3		3	5	3	12	3	5	3	9	3	5	3	
12																6	7	6	6	8	10	7	9	6	7	6	6					6	7	6	6	10	10	7	9	6	7	6	6					6	7	6	6	10	10	7	9	6	7	6	6
13														3		3	7	3	5	3	11	3	8	3	7	3	5	3		3		3	7	3	5	3	11	3	8	3	7	3	5	3		3		3	7	3	5	3	11	3	8	3	7	3	5
14																5	5	6	5	5	5	9	9	5	5	6	5	5	5			5	5	6	5	5	5	9	9	5	5	6	5	5	5			5	5	6	5	5	5	9	9	5	5	6	5
15																3	4	3	6	3	5	3	10	3	5	3	6	3	5	3		3	5	3	6	3	5	3	10	3	5	3	6	3	5	3		3	5	3	6	3	5	3	10	3	5	3	6
16																																18	18	18	18	22	26	18	25	18	18	21	21	18	19	18	18												
17																		3		3		3		3		3		3		3		3	7	3	8	3	26	3	24	3	11	3	20	3	18	3	16	3		3		3		3		3		3	
18																				5	5			5	5			5	5			5	5	9	9	5	5	8	24	5	5	11	20	5	5	6	16	5	5			5	5			5	5		
19																				3	4	3		3	5	3		3	5	3		3	5	3	8	3	5	3	25	3	5	3	20	3	5	3	17	3	5	3		3	5	3		3	5	3	
20																								6	7	6	6					6	7	6	6	22	26	9	25	6	7	6	6	14	8	8	16	6	7	6	6					6	7	6	6
21																						3		3	7	3	5	3		3		3	7	3	5	3	26	3	24	3	7	3	5	3	13	3	16	3	7	3	5	3		3		3	7	3	5
22																								5	5	6	5	5	5			5	5	6	5	5	5	8	24	5	5	6	5	5	5	17	17	5	5	6	5	5	5			5	5	6	5
23																								3	4	3	6	3	5	3		3	5	3	6	3	5	3	25	3	5	3	6	3	5	3	16	3	5	3	6	3	5	3		3	5	3	6
24																																10	10	13	13	10	11	10	10	12	11	11	20	14	13	17	17	10	10	13	13	10	11	10	10				
25																										3		3		3		3	5	3	12	3	10	3	8	3	12	3	20	3	8	3	16	3	5	3	12	3	10	3	8	3		3	
26																												5	5			5	5	13	13	5	5	7	8	5	5	21	21	5	5	8	16	5	5	13	13	5	5	7	8	5	5		
27																												3	4	3		3	5	3	12	3	5	3	9	3	5	3	20	3	5	3	16	3	5	3	12	3	5	3	9	3	5	3	
28																																6	7	6	6	8	10	7	9	6	7	6	6	14	18	6	17	6	7	6	6	8	10	7	9	6	7	6	6
29																														3		3	7	3	5	3	11	3	8	3	7	3	5	3	19	3	16	3	7	3	5	3	11	3	8	3	7	3	5
30																																5	5	6	5	5	5	9	9	5	5	6	5	5	5	17	17	5	5	6	5	5	5	9	9	5	5	6	5
31																																3	4	3	6	3	5	3	10	3	5	3	6	3	5	3	18	3	5	3	6	3	5	3	10	3	5	3	6
32																																																											
33																																		3		3		3		3		3		3		3		3		3		3		3		3		3	
34																																				5	5			5	5			5	5			5	5			5	5			5	5		
35																																				3	4	3		3	5	3		3	5	3		3	5	3		3	5	3		3	5	3	
36																																								6	7	6	6					6	7	6	6					6	7	6	6
37																																						3		3	7	3	5	3		3		3	7	3	5	3		3		3	7	3	5
38																																								5	5	6	5	5	5			5	5	6	5	5	5			5	5	6	5
39																																								3	4	3	6	3	5	3		3	5	3	6	3	5	3		3	5	3	6
40																																																10	10	13	13	10	11	10	10				
41																																										3		3		3		3	5	3	12	3	10	3	8	3		3	
42																																												5	5			5	5	13	13	5	5	7	8	5	5		
43																																												3	4	3		3	5	3	12	3	5	3	9	3	5	3	
44																																																6	7	6	6	8	10	7	9	6	7	6	6
45																																														3		3	7	3	5	3	11	3	8	3	7	3	5
46																																																5	5	6	5	5	5	9	9	5	5	6	5
47																																																3	4	3	6	3	5	3	10	3	5	3	6
48																																																											
49																																																		3		3		3		3		3	